,visitors,exhibitors,lat,lng,iata,distance
3070,26000.0,130.0,40.769127,-73.996224,NYC,10.449027007648192
3071,0,0,48.872234,2.775808,PAR,22.721722039295777
3072,0,30.0,52.5170365,13.3888599,BER,8.325486463447099
3073,0,0,51.457366,-0.245347,LON,15.07656577211538
3074,102000.0,0,22.350627,114.1849161,HKG,28.14761015722429
3075,12500.0,300.0,48.830432,2.28781,PAR,13.671390883230023
3076,0,30.0,36.020468,-115.089816,LAS,8.67305126087238
3077,0,0,25.758872,-80.191575,MIA,10.625153291489704
3078,0,10.0,1.31249,103.853967,SIN,16.121647943173596
3079,0,60.0,37.67153,-122.114456,SFO,23.6715644483008
3080,0,30.0,25.0750095,55.1887608818,DXB,26.519608774126315
3081,0,0,37.936622,23.688919,ATH,22.41410001484086
3082,150000.0,825.0,22.530732,114.059951,HKG,28.817168744162743
3083,0,0,25.217603,55.282811,DXB,9.091848666467726
3084,0,30.0,33.946165,-118.388966,LAX,1.8021810423239286
3085,0,30.0,37.7749295,-122.4194155,SFO,17.773552103799283
3086,0,30.0,48.875947,2.328297,PAR,13.2761692463969
3087,0,0,51.556061,-0.27954,LON,15.799467902756613
3088,0,30.0,25.141291,55.185337,DXB,21.870666670886635
3089,0,30.0,1.283563,103.860687,SIN,16.568761913437264
3090,0,0,51.494248,-0.141821,LON,13.698574909144025
3091,0,30.0,36.099642,-115.183376,LAS,3.559449540399158
3092,0,0,13.7397107,100.5112057,BKK,21.830324113489038
3093,0,30.0,-33.872052,151.209633,SYD,8.766966870027577
3094,12500.0,300.0,51.535472,-0.104971,LON,11.584052066306716
3095,0,30.0,51.507268,-0.16573,LON,15.297729240164495
3096,0,30.0,37.371851,-121.922702,SFO,48.45060976190093
3097,0,60.0,37.784139,-122.403278,SFO,18.530441587878784
3098,0,0,-33.847116,151.063414,SYD,15.20031273629548
3099,0,30.0,13.742812,100.549696,BKK,19.867590191529477
3100,0,30.0,51.496,-0.170317,LON,15.6497592953095
3101,0,30.0,37.78913,-122.40725,SFO,19.12922357064267
3102,0,30.0,40.762356,-73.979626,NYC,9.163045998773429
3103,0,0,37.7749295,-122.4194155,SFO,17.773552103799283
3104,0,0,51.511182,-0.076316,LON,9.130813252586568
3105,0,30.0,51.511519,-0.071188,LON,8.77970398764173
3106,0,0,51.517444,-0.097486,LON,10.657661787736417
3107,3000.0,300.0,51.49744,-0.044144,LON,6.937092616308633
3108,0,0,50.0019,8.27561,FRA,21.36130507383028
3109,16000.0,450.0,22.530737,114.057199,HKG,28.67241194381221
3110,0,0,1.292368,103.858927,SIN,16.33438210784837
3111,0,30.0,40.750868,-73.977666,NYC,9.320685106553057
3112,0,30.0,51.50732,-0.020915,LON,5.278170939165616
3113,0,35.0,1.31249,103.853967,SIN,16.121647943173596
3114,0,0,1.318318,103.816878,SIN,20.00646079735169
3115,0,30.0,41.0534302,-73.5387341,NYC,14.238729417700652
3116,0,80.0,-33.8548157,151.2164539,SYD,10.783489079707433
3117,12500.0,300.0,53.4636872,-2.3493120815,MAN,13.18604090967157
3118,0,0,52.5170365,13.3888599,BER,8.325486463447099
3119,0,30.0,25.0750095,55.1887608818,DXB,26.519608774126315
3120,0,30.0,51.597587,-1.125047,LON,47.99029865176832
3121,12500.0,300.0,51.5073219,-0.1276474,LON,12.662423481473173
3122,0,30.0,25.7742658,-80.1936589,MIA,9.932252308728602
3123,3000.0,300.0,48.830432,2.28781,PAR,13.671390883230023
3124,0,0,25.7742658,-80.1936589,MIA,9.932252308728602
3125,0,30.0,13.773982,100.546488,BKK,16.741081706374317
3126,0,0,53.482858,-2.233735,MAN,14.619257446892227
3127,0,30.0,51.518759,-0.1446,LON,13.912730750195472
3128,0,30.0,1.298309,103.855048,SIN,16.489055266113564
3129,0,30.0,53.4791301,-2.2441009,MAN,14.096372411876622
3130,98000.0,5000.0,25.227185,55.288806,DXB,8.119068122252738
3131,0,0,51.520742,-0.143588,LON,13.868381751030004
3132,3000.0,300.0,51.518743,-0.079814,LON,9.46743097371499
3133,0,30.0,51.517332,-0.129306,LON,12.843699532864344
3134,250.0,26.0,37.789844,-122.421925,SFO,19.440416988612355
3135,35000.0,0,36.121196,-115.174074,LAS,4.9813451899054595
3136,0.0,0,13.7397107,100.5112057,BKK,21.830324113489038
3137,3000.0,300.0,52.53213,13.344344,BER,4.906066178541444
3138,0,30.0,25.262941,55.327666,DXB,3.8623001894808504
3139,0,0,-33.881828,151.202729,SYD,7.5305394692953165
3140,0,30.0,48.853849,2.28806,PAR,15.982428122562117
3141,35000.0,0,47.615916,-122.191856,SEA,20.538246862286165
3142,3000.0,300.0,51.500222,-0.129027,LON,12.769387690694233
3143,0,50.0,41.386554,2.168282,BCN,12.456671052498256
3144,12500.0,300.0,25.792595,-80.129118,MIA,16.16757668319224
3145,12500.0,300.0,34.161569,-118.327107,LAX,25.47368786002585
3146,0,30.0,40.7308619,-73.9871558,NYC,10.938998375331492
3147,0,30.0,53.4791301,-2.2441009,MAN,14.096372411876622
3148,0,0,26.20185,-80.180157,MIA,46.76137788003097
3149,125000.0,0,36.11288,-115.062394,LAS,8.83761431335954
3150,2000.0,100.0,33.801,-117.915975,LAX,48.07304448223681
3151,0,0,51.535705,-0.190259,LON,17.321699676556197
3152,0,30.0,36.12649,-115.165739,LAS,5.303837692382228
3153,3000.0,300.0,40.672857,-73.832624,NYC,5.8351345521358144
3154,0,500.0,21.035678,-86.77849,CUN,10.234378517515035
3155,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
3156,0,30.0,50.056419,8.592552,FRA,3.0094369717987495
3157,0,30.0,36.10997,-115.170065,LAS,3.6966704412325426
3158,35000.0,0,34.141959,-118.149747,LAX,32.52829619650802
3159,0,0,13.7538929,100.8160803,BKK,11.00905352917572
3160,0,70.0,48.714297,2.211292,PAR,12.376746809351264
3161,0,30.0,-33.870144,151.205996,SYD,8.859447360756679
3162,3000.0,300.0,34.161569,-118.327107,LAX,25.47368786002585
3163,0,0,52.5170365,13.3888599,BER,8.325486463447099
3164,0,0,-33.864497,151.209944,SYD,9.56941047067877
3165,8420.0,260.0,13.669887,100.61001,BKK,14.853354363689126
3166,0,30.0,40.758142,-73.98506,NYC,9.705247098697718
3167,0,0,51.751291,-0.333813,LON,13.925980830596254
3168,40000.0,200.0,19.1334321,72.8882172,BOM,5.412884884611564
3169,0,0,13.738378,100.532053,BKK,20.99487466266829
3170,12500.0,300.0,33.764611,-118.194065,LAX,27.955944595405054
3171,12500.0,300.0,25.270794,55.327071,DXB,4.253695564801524
3172,0,0,1.300185,103.860678,SIN,15.829779141860337
3173,0,0,-33.871841,151.207886,SYD,8.735082542646175
3174,12500.0,300.0,37.976365,23.734041,ATH,18.979510579882856
3175,0,30.0,37.783126,-122.403897,SFO,18.426264273208727
3176,0,30.0,41.908412,12.475944,ROM,15.620537383414653
3177,12500.0,300.0,34.152489,-118.456259,LAX,23.76920242604893
3178,3000.0,300.0,37.7749295,-122.4194155,SFO,17.773552103799283
3179,0,0,51.5073219,-0.1276474,LON,12.662423481473173
3180,0,0,33.94487,-118.37412,LAX,3.1361036988615125
3181,35000.0,0,19.101908,72.826477,BOM,4.593414904276871
3182,0,0,25.12514,55.41009,DXB,14.921092453087141
3183,0,0,37.699933,-121.918112,SFO,41.213501578109785
3184,0,30.0,13.75893,100.537434,BKK,18.665286522015805
3185,0,30.0,25.771329,-80.189463,MIA,10.414702616842911
3186,0,30.0,36.131998,-115.151681,LAS,5.770753335580742
3187,3000.0,300.0,50.90622,-0.775071,LON,48.94935710142392
3188,0,30.0,40.76448,-73.972015,NYC,8.490721024511465
3189,0,30.0,36.116441,-115.170792,LAS,4.379360094399528
3190,0,30.0,51.535472,-0.104971,LON,11.584052066306716
3191,0,0,22.1932168,113.5500501,HKG,39.700497241879106
3192,0,30.0,22.280278,114.174846,HKG,26.922326488000586
3193,3000.0,300.0,47.173351,-122.597989,SEA,37.605494462467625
3194,0,30.0,51.535472,-0.104971,LON,11.584052066306716
3195,0,0,1.3408528,103.8784468637,SIN,12.887602867904425
3196,12500.0,300.0,21.021686,105.844564,HAN,22.524615628157534
3197,13000.0,1400.0,22.283219,114.173103,HKG,26.707046505089416
3198,0,30.0,26.098818,-80.122948,MIA,37.89288256894395
3199,12500.0,300.0,51.50846,0.029846,LON,1.7949006937740153
3200,0,0,1.288878,103.834491,SIN,18.997660257661483
3201,0,0,52.50497,13.39789,BER,9.622330472453232
3202,0,30.0,13.72313,100.539897,BKK,22.279244949904832
3203,0,250.0,40.752039,-73.97638,NYC,9.177323180007509
3204,0,0,25.770889,-80.190955,MIA,10.28121767555139
3205,0,30.0,34.045518,-118.266435,LAX,17.364881114985074
